low_range,high_range,value
1,1,Ada
2,2,Agnes
3,3,Alejandra
4,4,Alice
5,5,Alma
6,6,Amanda
7,7,Amelia
8,8,Annie
9,9,Araceli
10,10,Bertha
11,11,Bessie
12,12,Birdie
13,13,Blanche
14,14,Caroline
15,15,Carrie
16,16,Catherine
17,17,Charlotte
18,18,Clara
19,19,Cora
20,20,Daisy
21,21,Delia
22,22,Della
23,23,Dora
24,24,Edith
25,25,Edna
26,26,Effie
27,27,Elena
28,28,Elizabeth
29,29,Ella
30,30,Ellen
31,31,Elsie
32,32,Emily
33,33,Emma
34,34,Esther
35,35,Ethel
36,36,Etta
37,37,Eva
38,38,Fannie
39,39,Flora
40,40,Florence
41,41,Frances
42,42,Georgia
43,43,Gertrude
44,44,Gloria
45,45,Grace
46,46,Harriet
47,47,Hattie
48,48,Hazel
49,49,Helen
50,50,Ida
51,51,Irene
52,52,Isabel
53,53,Jane
54,54,Jennie
55,55,Jessie
56,56,Josefina
57,57,Josephine
58,58,Julia
59,59,Kate
60,60,Katherine
61,61,Katie
62,62,Laura
63,63,Lena
64,64,Leticia
65,65,Lillie
66,66,Lizzie
67,67,Lottie
68,68,Louise
69,69,Lucy
70,70,Lulu
71,71,Lydia
72,72,Mabel
73,73,Mae
74,74,Maggie
75,75,Mamie
76,76,Margaret
77,77,Margarita
78,78,Maria
79,79,Martha
80,80,Mary
81,81,Mattie
82,82,Maude
83,83,May
84,84,Minnie
85,85,Mollie
86,86,Myrtle
87,87,Nancy
88,88,Nellie
89,89,Nora
90,90,Olive
91,91,Rosa
92,92,Ruth
93,93,Sadie
94,94,Sallie
95,95,Sarah
96,96,Stella
97,97,Susan
98,98,Susie
99,99,Viola
100,100,Willie
