low_range,high_range,value
1,1,Albert
2,2,Alejandro
3,3,Alexander
4,4,Alfred
5,5,Allen
6,6,Andrew
7,7,Angel
8,8,Anthony
9,9,Antonio
10,10,Archie
11,11,Arthur
12,12,Ben
13,13,Benjamin
14,14,Bernard
15,15,Bert
16,16,Carl
17,17,Charles
18,18,Charlie
19,19,Chester
20,20,Clarence
21,21,Claude
22,22,Clifford
23,23,Clyde
24,24,Daniel
25,25,David
26,26,Earl
27,27,Edgar
28,28,Edward
29,29,Edwin
30,30,Elmer
31,31,Ernest
32,32,Eugene
33,33,Floyd
34,34,Francis
35,35,Francisco
36,36,Frank
37,37,Frederick
38,38,Gabriel
39,39,George
40,40,Grover
41,41,Guy
42,42,Harold
43,43,Harry
44,44,Harvey
45,45,Henry
46,46,Herbert
47,47,Herman
48,48,Homer
49,49,Horace
50,50,Howard
51,51,Hugh
52,52,Ira
53,53,Isaac
54,54,Jack
55,55,Jacob
56,56,James
57,57,Jesse
58,58,Jim
59,59,Joaquin
60,60,Joe
61,61,John
62,62,Joseph
63,63,Juan
64,64,Julius
65,65,Lawrence
66,66,Lee
67,67,Leo
68,68,Leonard
69,69,Leroy
70,70,Lewis
71,71,Luis
72,72,Luther
73,73,Marion
74,74,Martin
75,75,Michael
76,76,Miguel
77,77,Milton
78,78,Oliver
79,79,Oscar
80,80,Otto
81,81,Patrick
82,82,Paul
83,83,Pedro
84,84,Peter
85,85,Philip
86,86,Ralph
87,87,Ray
88,88,Raymond
89,89,Richard
90,90,Robert
91,91,Roy
92,92,Samuel
93,93,Sidney
94,94,Stephen
95,95,Theodore
96,96,Thomas
97,97,Tom
98,98,Walter
99,99,Warren
100,100,William
