low_range,high_range,value
1,1,Ace
2,2,Angel
3,3,Bad
4,4,Baldy
5,5,Bandit
6,6,Barron
7,7,Bear
8,8,Big
9,9,Big Nose
10,10,Black
11,11,Boss
12,12,Boulder
13,13,Bronco
14,14,Bull
15,15,Bullettooth
16,16,Captain
17,17,Catus
18,18,Charro / a
19,19,Chiquito / a
20,20,[City Name]
21,21,Cock-Eyed
22,22,Cookie
23,23,Curly
24,24,Damned
25,25,Dash
26,26,Deaf
27,27,Deuce
28,28,Diamond
29,29,Dirty
30,30,Doc
31,31,Drag
32,32,Dusty
33,33,Dutch
34,34,Dynamite
35,35,Earl
36,36,English
37,37,Flaco / a
38,38,Gordo / a
39,39,Gorgeous
40,40,Gravedigger
41,41,Greenie
42,42,Handsome
43,43,Happy
44,44,Hard Case
45,45,Hard Luck
46,46,Hawk
47,47,Holdout
48,48,Hollow
49,49,Hoodlum
50,50,Hoodoo
51,51,Hopalong
52,52,the Kid
53,53,Killer
54,54,King
55,55,Lame
56,56,Laughing
57,57,Little
58,58,Liver-eating
59,59,Longhair
60,60,Loop Garou
61,61,Lucky
62,62,Mad Dog
63,63,Magic
64,64,Mysterious
65,65,One-legged
66,66,Outlaw
67,67,Pistol
68,68,Plug
69,69,Pony
70,70,Preacher
71,71,Queen
72,72,Ragged
73,73,Ranny
74,74,Rattlesnake
75,75,Red
76,76,Rose
77,77,Rosin Jaw
78,78,Sawed Off
79,79,Six-gun
80,80,Slim
81,81,Smiling
82,82,Snake Eyes
83,83,Snake-bit
84,84,Speedy
85,85,Splay Foot
86,86,[State Name]
87,87,Stretch
88,88,Stuttering
89,89,Swede
90,90,Tall
91,91,Three-finger
92,92,Tiger
93,93,Tinhorn
94,94,Toothless
95,95,Trapper
96,96,Ugly
97,97,Waddy
98,98,Whiskey
99,99,Wild
100,100,Wildcat
